cod_ibge,municipio,uf,caminho
5220207,São Miguel do Araguaia,GO,GO/ATM_5220207_Sao_Miguel_do_Araguaia_GO.pdf
5220264,São Miguel do Passa Quatro,GO,GO/ATM_5220264_Sao_Miguel_do_Passa_Quatro_GO.pdf
5220280,São Patrício,GO,GO/ATM_5220280_Sao_Patricio_GO.pdf
5220405,São Simão,GO,GO/ATM_5220405_Sao_Simao_GO.pdf
5220702,Sítio d'Abadia,GO,GO/ATM_5220702_Sitio_d_Abadia_GO.pdf
5221007,Taquaral de Goiás,GO,GO/ATM_5221007_Taquaral_de_Goias_GO.pdf
5221080,Teresina de Goiás,GO,GO/ATM_5221080_Teresina_de_Goias_GO.pdf
5221197,Terezópolis de Goiás,GO,GO/ATM_5221197_Terezopolis_de_Goias_GO.pdf
5221403,Trindade,GO,GO/ATM_5221403_Trindade_GO.pdf
5221452,Trombas,GO,GO/ATM_5221452_Trombas_GO.pdf
5221304,Três Ranchos,GO,GO/ATM_5221304_Tres_Ranchos_GO.pdf
5221551,Turvelândia,GO,GO/ATM_5221551_Turvelandia_GO.pdf
5221502,Turvânia,GO,GO/ATM_5221502_Turvania_GO.pdf
5221577,Uirapuru,GO,GO/ATM_5221577_Uirapuru_GO.pdf
5221700,Uruana,GO,GO/ATM_5221700_Uruana_GO.pdf
5221601,Uruaçu,GO,GO/ATM_5221601_Uruacu_GO.pdf
5221809,Urutaí,GO,GO/ATM_5221809_Urutai_GO.pdf
5221858,Valparaíso de Goiás,GO,GO/ATM_5221858_Valparaiso_de_Goias_GO.pdf
5221908,Varjão,GO,GO/ATM_5221908_Varjao_GO.pdf
5222005,Vianópolis,GO,GO/ATM_5222005_Vianopolis_GO.pdf
5222054,Vicentinópolis,GO,GO/ATM_5222054_Vicentinopolis_GO.pdf
5222203,Vila Boa,GO,GO/ATM_5222203_Vila_Boa_GO.pdf
5222302,Vila Propício,GO,GO/ATM_5222302_Vila_Propicio_GO.pdf
5200175,Água Fria de Goiás,GO,GO/ATM_5200175_Agua_Fria_de_Goias_GO.pdf
5200209,Água Limpa,GO,GO/ATM_5200209_Agua_Limpa_GO.pdf
5200258,Águas Lindas de Goiás,GO,GO/ATM_5200258_Aguas_Lindas_de_Goias_GO.pdf
5000252,Alcinópolis,MS,MS/ATM_5000252_Alcinopolis_MS.pdf
5000609,Amambai,MS,MS/ATM_5000609_Amambai_MS.pdf
5000708,Anastácio,MS,MS/ATM_5000708_Anastacio_MS.pdf
5000807,Anaurilândia,MS,MS/ATM_5000807_Anaurilandia_MS.pdf
5000856,Angélica,MS,MS/ATM_5000856_Angelica_MS.pdf
5000906,Antônio João,MS,MS/ATM_5000906_Antonio_Joao_MS.pdf
5001003,Aparecida do Taboado,MS,MS/ATM_5001003_Aparecida_do_Taboado_MS.pdf
5001102,Aquidauana,MS,MS/ATM_5001102_Aquidauana_MS.pdf
5001243,Aral Moreira,MS,MS/ATM_5001243_Aral_Moreira_MS.pdf
5001508,Bandeirantes,MS,MS/ATM_5001508_Bandeirantes_MS.pdf
5001904,Bataguassu,MS,MS/ATM_5001904_Bataguassu_MS.pdf
5002001,Batayporã,MS,MS/ATM_5002001_Bataypora_MS.pdf
5002100,Bela Vista,MS,MS/ATM_5002100_Bela_Vista_MS.pdf
5002159,Bodoquena,MS,MS/ATM_5002159_Bodoquena_MS.pdf
5002209,Bonito,MS,MS/ATM_5002209_Bonito_MS.pdf
5002308,Brasilândia,MS,MS/ATM_5002308_Brasilandia_MS.pdf
5002407,Caarapó,MS,MS/ATM_5002407_Caarapo_MS.pdf
5002605,Camapuã,MS,MS/ATM_5002605_Camapua_MS.pdf
5002704,Campo Grande,MS,MS/ATM_5002704_Campo_Grande_MS.pdf
5002803,Caracol,MS,MS/ATM_5002803_Caracol_MS.pdf
5002902,Cassilândia,MS,MS/ATM_5002902_Cassilandia_MS.pdf
5002951,Chapadão do Sul,MS,MS/ATM_5002951_Chapadao_do_Sul_MS.pdf
5003108,Corguinho,MS,MS/ATM_5003108_Corguinho_MS.pdf
5003157,Coronel Sapucaia,MS,MS/ATM_5003157_Coronel_Sapucaia_MS.pdf
5003207,Corumbá,MS,MS/ATM_5003207_Corumba_MS.pdf
5003256,Costa Rica,MS,MS/ATM_5003256_Costa_Rica_MS.pdf
5003306,Coxim,MS,MS/ATM_5003306_Coxim_MS.pdf
5003454,Deodápolis,MS,MS/ATM_5003454_Deodapolis_MS.pdf
5003488,Dois Irmãos do Buriti,MS,MS/ATM_5003488_Dois_Irmaos_do_Buriti_MS.pdf
5003504,Douradina,MS,MS/ATM_5003504_Douradina_MS.pdf
5003702,Dourados,MS,MS/ATM_5003702_Dourados_MS.pdf
5003751,Eldorado,MS,MS/ATM_5003751_Eldorado_MS.pdf
5003900,Figueirão,MS,MS/ATM_5003900_Figueirao_MS.pdf
5003801,Fátima do Sul,MS,MS/ATM_5003801_Fatima_do_Sul_MS.pdf
5004007,Glória de Dourados,MS,MS/ATM_5004007_Gloria_de_Dourados_MS.pdf
5004106,Guia Lopes da Laguna,MS,MS/ATM_5004106_Guia_Lopes_da_Laguna_MS.pdf
5004304,Iguatemi,MS,MS/ATM_5004304_Iguatemi_MS.pdf
5004403,Inocência,MS,MS/ATM_5004403_Inocencia_MS.pdf
5004502,Itaporã,MS,MS/ATM_5004502_Itapora_MS.pdf
5004601,Itaquiraí,MS,MS/ATM_5004601_Itaquirai_MS.pdf
